model,term,estimate,std_error,p_value,exp_estimate,ci_l,ci_u,sig
chain_comp,trabaja,0.256814885029055,0.0328160677545896,5.47309485073972e-15,1.29280578690166,0.192495392230059,0.321134377828051,***
chain_comp,niv_f1,-0.159547157171806,0.155477338786397,0.304829665808434,0.852529763555952,-0.464282741193143,0.145188426849532,""
chain_comp,niv_f2,0.213461974431569,0.11569301856741,0.0650522313034642,1.23795642337638,-0.0132963419605546,0.440220290823693,*
chain_comp,niv_f3,0.269867179084772,0.116831429095464,0.0209117944012594,1.30979047161027,0.040877578057664,0.498856780111881,**
chain_comp,niv_f4,0.69804423285375,0.133408968130654,1.7024310348715e-07,2.00981812490235,0.436562655317668,0.959525810389832,***
chain_comp,niv_f5,0.360415827345406,0.298634363934393,0.227502722504089,1.43392555606327,-0.224907525966004,0.945739180656815,""
chain_comp,niv_f6,0.461396533885998,0.117509716209073,8.6700527197538e-05,1.586287743427,0.231077490116214,0.691715577655781,***
chain_comp,niv_f7,0.665483131748869,0.130456981330899,3.42836747158493e-07,1.94543019341749,0.409787448340306,0.921178815157431,***
chain_comp,niv_f8,0.891391632265888,0.119320685878646,8.55236641318584e-14,2.43852081536361,0.657523087943741,1.12526017658803,***
chain_comp,niv_f9,1.36935151127368,0.136285696507604,1.17267096759379e-23,3.93279949221301,1.10223154611877,1.63647147642858,***
chain_comp,niv_fNo especificado,-4.2634434439001,0.643192042534946,3.53813927122002e-11,0.0140737566842846,-5.5240998472686,-3.00278704053161,***
chain_comp,adultos_65mas,-0.208314104595151,0.0290150633026523,7.4184573580891e-13,0.811951958812162,-0.265183628668349,-0.151444580521952,***
chain_comp,jefa_mujer,0.13016655015789,0.0339159741487101,0.000124735876637142,1.13901807116751,0.0636912408264181,0.196641859489362,***
chain_comp,ent_f13,-0.596798899122158,0.264609690429058,0.0241270140955431,0.550571252356105,-1.11543389236311,-0.0781639058812039,**
chain_comp,ent_f15,-0.611909551185948,0.0364602182936526,1.73963106792773e-62,0.542314302781247,-0.683371579041507,-0.540447523330388,***
chain_comp,mujer:sin_auto,0.341326857544378,0.0462778846974639,1.74635807077536e-13,1.40681299316167,0.250622203537349,0.432031511551408,***
chain_comp,mujer:periferia,0.11794722223302,0.05515954759429,0.0325136518434184,1.12518472506299,0.00983450894821138,0.226059935517828,**
chain_comp,mujer:hay_menores12,0.366527880422893,0.0451368881142603,5.11183389713064e-16,1.44271662353915,0.278059579718942,0.454996181126843,***
chain_travelers,(Intercept),-3.40341292017732,0.134801758942999,5.37553697844377e-137,0.0332595637992918,-3.6676243677056,-3.13920147264905,***
chain_travelers,mujer,0.0855018712861567,0.0349420494432716,0.0144211991649479,1.08926359966605,0.0170154543773443,0.153988288194969,**
